Date,CountyName,Location,EventType,Deaths,PropertyDamage,CropDamage
2022-01-16,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2022-03-12,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2022-03-23,MAGOFFIN CO.,FRITZ,Thunderstorm Wind,0,0.0,0.0
2022-03-31,MAGOFFIN (ZONE), ,High Wind,0,13800.0,0.0
2022-06-17,MAGOFFIN CO.,BETHANNA,Thunderstorm Wind,0,0.0,2000.0
2022-06-17,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,1000.0
2022-06-17,MAGOFFIN CO.,BLOOMINGTON,Thunderstorm Wind,0,0.0,2000.0
2022-06-17,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,3000.0
2022-06-17,MAGOFFIN CO.,FALCON,Thunderstorm Wind,0,0.0,3000.0
2022-06-17,MAGOFFIN CO.,SUBLETT,Thunderstorm Wind,0,0.0,2000.0
2022-06-17,MAGOFFIN CO.,IVYTON,Thunderstorm Wind,0,0.0,200.0
2022-06-17,MAGOFFIN CO.,GUNLOCK,Thunderstorm Wind,0,0.0,1000.0
2022-07-26,MAGOFFIN CO.,CONLEY,Flash Flood,0,0.0,0.0
2022-07-26,MAGOFFIN CO.,ROYALTON,Flash Flood,0,0.0,0.0
2022-07-27,MAGOFFIN CO.,LICKSBURG,Flash Flood,0,0.0,0.0
2022-10-12,MAGOFFIN CO.,WONNIE,Thunderstorm Wind,0,0.0,3000.0
2022-10-12,MAGOFFIN CO.,LICKSBURG,Thunderstorm Wind,0,0.0,3000.0
2023-02-16,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,35000.0,0.0
2023-03-03,MAGOFFIN CO.,BETHANNA,Thunderstorm Wind,0,0.0,1000.0
2023-03-03,MAGOFFIN (ZONE), ,High Wind,0,0.0,8000.0
2023-04-01,MAGOFFIN (ZONE), ,High Wind,0,8000.0,1000.0
2023-05-16,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,1000.0
2023-05-16,MAGOFFIN CO.,FORAKER,Tornado,0,1000.0,19800.0
2023-05-16,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,1000.0
2023-05-16,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,1000.0
2023-07-02,MAGOFFIN CO.,GIFFORD,Thunderstorm Wind,0,0.0,1000.0
2023-07-02,MAGOFFIN CO.,GIFFORD,Thunderstorm Wind,0,0.0,1000.0
2023-07-02,MAGOFFIN CO.,GIFFORD,Thunderstorm Wind,0,0.0,1000.0
2023-07-18,MAGOFFIN CO.,ROYALTON,Thunderstorm Wind,0,0.0,1000.0
2023-08-07,MAGOFFIN CO.,KERNIE,Thunderstorm Wind,0,0.0,4000.0
2023-08-07,MAGOFFIN CO.,BETHANNA,Thunderstorm Wind,0,0.0,2000.0
2024-01-14,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2024-04-11,MAGOFFIN CO.,MASON,Thunderstorm Wind,0,0.0,1000.0
2024-05-26,MAGOFFIN CO.,WONNIE,Thunderstorm Wind,0,0.0,1000.0
2024-05-26,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,1000.0
2024-05-26,MAGOFFIN CO.,CYRUS,Thunderstorm Wind,0,0.0,3000.0
2024-05-26,MAGOFFIN CO.,LEATHA,Thunderstorm Wind,0,0.0,3000.0
2024-05-26,MAGOFFIN CO.,SUBLETT,Thunderstorm Wind,0,0.0,1000.0
2024-06-26,MAGOFFIN CO.,ARTHURMABEL,Thunderstorm Wind,0,0.0,1000.0
